Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
1511,-3.44E-03,-3.64E-12,-7.51E-04,2.59E-02
1512,-3.48E-03,0.00E+00,-6.93E-04,2.58E-02
1513,-3.48E-03,0.00E+00,-1.39E-03,9.96E-03
1514,-3.38E-03,0.00E+00,-1.40E-03,1.19E-02
1515,-3.39E-03,-1.82E-12,-1.43E-03,1.12E-02
1516,-3.59E-03,-9.09E-13,-1.18E-03,1.03E-02
1517,-3.46E-03,0.00E+00,-1.18E-03,1.38E-02
1518,-3.53E-03,9.09E-13,-1.32E-03,9.86E-03
1519,-3.66E-03,0.00E+00,-8.39E-04,1.38E-02
1520,-3.66E-03,0.00E+00,-7.96E-04,1.52E-02
1521,-3.42E-03,0.00E+00,-1.55E-03,8.89E-03
1522,-3.44E-03,-9.09E-13,-1.50E-03,9.30E-03
1523,-3.36E-03,-1.82E-12,-1.68E-03,8.66E-03
1524,-3.35E-03,1.82E-12,-1.12E-03,1.99E-02
1525,-3.37E-03,-7.28E-12,-1.27E-03,1.47E-02
1526,-3.30E-03,-5.46E-12,-1.14E-03,2.10E-02
1527,-3.63E-03,-1.82E-12,-1.03E-03,1.15E-02
1528,-3.65E-03,-9.09E-13,-1.00E-03,1.12E-02
1529,-3.37E-03,5.46E-12,-1.43E-03,1.15E-02
1530,-3.63E-03,0.00E+00,-9.66E-04,1.27E-02
1531,-3.28E-03,0.00E+00,-1.57E-03,1.13E-02
1532,-3.56E-03,-1.82E-12,-8.54E-04,1.72E-02
1533,-3.57E-03,1.82E-12,-8.81E-04,1.60E-02
1534,-3.50E-03,5.46E-12,-8.64E-04,1.98E-02
1535,-3.49E-03,3.64E-12,-1.09E-03,1.47E-02
1536,-3.52E-03,0.00E+00,-1.35E-03,9.79E-03
1537,-3.35E-03,0.00E+00,-8.80E-04,2.65E-02
1538,-3.43E-03,3.64E-12,-1.01E-03,1.87E-02
1539,-3.30E-03,0.00E+00,-1.09E-03,2.25E-02
1540,-3.54E-03,0.00E+00,-9.19E-04,1.64E-02
1541,-3.69E-03,9.09E-13,-6.53E-04,1.71E-02
1542,-3.26E-03,0.00E+00,-7.91E-04,3.53E-02
1543,-3.31E-03,0.00E+00,-5.81E-04,4.39E-02
1544,-3.26E-03,9.09E-13,-5.68E-04,4.83E-02
1545,-3.26E-03,7.28E-12,-2.30E-03,0.00E+00
1546,-3.25E-03,9.09E-13,-2.31E-03,0.00E+00
1547,-3.23E-03,0.00E+00,-2.30E-03,7.92E-04
1548,-3.24E-03,-1.82E-12,-2.28E-03,7.94E-04
1549,-3.36E-03,7.28E-12,-2.15E-03,0.00E+00
1550,-3.34E-03,-5.46E-12,-2.13E-03,8.23E-04
1551,-3.14E-03,9.09E-13,-2.46E-03,0.00E+00
1552,-3.12E-03,0.00E+00,-2.44E-03,7.73E-04
1553,-3.31E-03,-6.37E-12,-2.12E-03,1.78E-03
