Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
150,-2.53E-03,-1.89E-03,1.54E-03,1.23E+01
151,-2.62E-03,-1.74E-03,1.58E-03,9.60E+00
152,-1.92E-03,-2.93E-03,-1.31E-04,8.43E+00
153,-1.79E-03,-3.00E-03,-2.57E-04,7.00E+00
154,-1.76E-03,-3.03E-03,-7.00E-05,8.92E+00
155,-1.01E-03,-1.83E-04,-3.37E-03,3.85E+00
156,-1.16E-03,-9.05E-05,-3.32E-03,1.17E+00
157,-1.03E-03,1.28E-05,-3.37E-03,3.56E+00
158,-4.29E-04,-9.26E-04,-3.37E-03,3.98E+00
159,-6.07E-04,-1.04E-03,-3.31E-03,1.10E+00
160,-5.99E-04,-8.28E-04,-3.37E-03,4.06E+00
161,-2.39E-03,-1.98E-03,1.64E-03,1.39E+01
162,-2.47E-03,-1.83E-03,1.70E-03,1.19E+01
163,-1.01E-03,-3.09E-03,1.32E-03,1.25E+01
164,-9.04E-04,-3.06E-03,1.47E-03,1.16E+01
165,-1.08E-03,-2.99E-03,1.48E-03,1.36E+01
166,-2.24E-03,-2.70E-03,-1.86E-04,5.45E+00
167,-2.14E-03,-2.76E-03,-3.31E-04,5.26E+00
168,-2.08E-03,-2.82E-03,-1.70E-04,6.21E+00
169,-7.47E-04,-7.00E-04,-3.37E-03,4.29E+00
170,-9.69E-04,-7.35E-04,-3.30E-03,1.05E+00
171,-8.69E-04,-5.45E-04,-3.37E-03,4.36E+00
172,-2.89E-03,-1.54E-03,1.28E-03,7.55E+00
173,-1.92E-03,-2.30E-03,1.83E-03,1.80E+01
174,-1.98E-03,-2.16E-03,1.94E-03,1.53E+01
175,-1.00E-03,-2.94E-03,1.64E-03,1.20E+01
176,1.82E-03,-2.60E-03,-1.49E-03,5.91E-01
177,1.93E-03,-2.60E-03,-1.35E-03,5.85E-01
178,1.82E-03,-2.68E-03,-1.35E-03,6.13E-01
179,-1.26E-03,-2.66E-03,1.91E-03,1.27E+01
180,-1.09E-03,-5.34E-04,-3.30E-03,1.13E+00
181,-9.59E-04,-3.71E-04,-3.37E-03,4.01E+00
182,-1.10E-03,-3.32E-03,2.08E-04,6.17E+00
183,-1.19E-03,-3.28E-03,4.06E-04,8.81E+00
184,-1.63E-03,-2.40E-03,1.98E-03,1.41E+01
185,-1.76E-03,-2.42E-03,1.84E-03,1.52E+01
186,1.35E-03,3.09E-03,-1.07E-03,7.30E-01
187,1.55E-03,2.96E-03,-1.15E-03,6.76E-01
188,1.37E-03,3.01E-03,-1.24E-03,7.16E-01
189,1.20E-03,3.08E-03,-1.25E-03,7.49E-01
190,1.44E-03,-2.91E-03,-1.33E-03,6.68E-01
191,1.28E-03,-2.93E-03,-1.45E-03,6.78E-01
192,1.42E-03,-2.83E-03,-1.52E-03,6.58E-01
193,1.30E-03,2.97E-03,-1.40E-03,7.06E-01
194,3.14E-03,1.47E-03,6.65E-04,1.18E+00
195,3.05E-03,1.65E-03,6.46E-04,6.63E-01
196,3.06E-03,1.56E-03,8.23E-04,1.15E+00
197,1.90E-03,-2.69E-03,-1.22E-03,6.11E-01
198,9.98E-04,-3.05E-03,-1.41E-03,7.00E-01
199,9.35E-04,-2.98E-03,-1.59E-03,6.91E-01
200,1.12E-03,-2.95E-03,-1.53E-03,6.83E-01
