Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
131,-6.78E-04,3.64E-12,-1.32E-02,2.35E-01, null
132,-9.07E-04,0.00E+00,-1.30E-02,0.00E+00,6.43E+00
133,-7.62E-04,3.64E-12,-1.31E-02,1.51E-01, null
134,-6.26E-04,1.46E-11,-1.42E-02,2.77E-01, null
135,-6.55E-04,-7.28E-12,-1.43E-02,2.74E-01, null
136,-7.90E-04,-7.28E-12,-1.41E-02,1.29E-01, null
137,-9.16E-04,0.00E+00,-1.37E-02,0.00E+00,8.14E+00
138,-8.83E-04,-3.64E-12,-1.38E-02,3.09E-02, null
139,-6.38E-04,0.00E+00,-1.41E-02,2.79E-01, null
140,-4.92E-04,7.28E-12,-1.40E-02,3.07E-01, null
141,-5.25E-04,3.64E-12,-1.28E-02,3.15E-01, null
142,-9.16E-04,5.46E-12,-1.43E-02,0.00E+00,9.84E+00
143,-9.14E-04,-1.82E-12,-1.43E-02,0.00E+00,1.01E+01
144,-8.92E-04,0.00E+00,-1.43E-02,2.60E-02, null
145,-4.32E-04,0.00E+00,-1.33E-02,3.59E-01, null
146,-4.19E-04,-3.64E-12,-1.37E-02,3.50E-01, null
147,-6.67E-04,-7.28E-12,-1.39E-02,2.58E-01, null
148,-6.62E-04,7.28E-12,-1.31E-02,2.41E-01, null
149,-7.18E-04,7.28E-12,-1.32E-02,1.88E-01, null
150,-9.14E-04,-1.09E-11,-1.32E-02,0.00E+00,7.01E+00
151,-9.16E-04,1.82E-12,-1.32E-02,0.00E+00,6.94E+00
152,-6.82E-04,0.00E+00,-1.45E-02,2.82E-01, null
153,-8.37E-04,0.00E+00,-1.44E-02,1.01E-01, null
154,-9.14E-04,0.00E+00,-1.38E-02,0.00E+00,8.27E+00
155,-4.54E-04,0.00E+00,-1.46E-02,3.10E-01, null
156,-3.93E-04,0.00E+00,-1.48E-02,3.03E-01, null
157,-8.80E-04,0.00E+00,-1.38E-02,3.57E-02, null
158,-6.19E-04,0.00E+00,-1.46E-02,2.90E-01, null
159,-6.94E-04,0.00E+00,-1.46E-02,2.82E-01, null
160,-7.40E-04,0.00E+00,-1.46E-02,2.19E-01, null
161,-4.93E-04,1.82E-12,-1.32E-02,3.30E-01, null
162,-3.94E-04,-3.64E-12,-1.33E-02,3.73E-01, null
