Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
185,1.57E-03,-4.35E-05,2.37E-03,3.29E-01
186,3.02E-04,2.29E-03,1.64E-03,2.20E-01
187,4.26E-05,1.99E-03,2.01E-03,2.16E-01
188,2.54E-03,1.30E-03,-2.27E-04,9.33E-02
189,2.77E-03,-3.90E-04,-5.39E-04,1.42E-01
190,2.75E-03,8.94E-06,-6.77E-04,1.55E-01
191,1.59E-03,1.22E-03,2.02E-03,2.82E-01
192,-2.76E-03,7.49E-04,-2.02E-04,1.85E-01
193,-2.52E-03,1.10E-03,-6.73E-04,1.27E-01
194,-1.44E-03,2.10E-03,1.84E-03,2.55E-01
195,-1.03E-03,1.43E-03,2.24E-03,1.20E-01
196,-2.36E-03,7.70E-04,1.37E-03,2.87E-01
197,-7.30E-04,-1.54E-03,-2.23E-03,1.72E-02
198,-1.71E-03,3.02E-04,-2.23E-03,3.42E-02
199,-9.57E-04,1.43E-03,-2.30E-03,1.83E-02
200,1.88E-03,1.55E-03,1.49E-03,2.19E-01
201,-7.11E-04,2.56E-03,-9.50E-04,1.58E-01
202,-5.88E-04,1.73E-03,2.20E-03,1.41E-01
203,-1.32E-03,2.91E-03,-1.98E-04,1.61E-01
204,-9.65E-04,-4.50E-04,-3.07E-03,2.05E-01
205,-1.05E-03,-1.25E-03,-2.39E-03,3.50E-02
206,2.01E-03,1.11E-03,1.80E-03,2.24E-01
207,1.36E-03,-1.13E-03,-2.20E-03,1.16E-01
208,-2.45E-03,2.39E-03,2.62E-04,1.23E-01
209,-2.13E-03,1.60E-03,-9.69E-04,4.19E-02
210,-2.10E-03,1.72E-03,1.52E-03,2.23E-01
211,-1.32E-03,1.10E-03,-2.28E-03,4.95E-02
212,2.36E-03,1.59E-03,1.95E-04,1.13E-01
213,2.22E-03,1.69E-03,6.98E-04,1.36E-01
214,2.03E-03,1.68E-03,1.14E-03,1.80E-01
215,-2.77E-03,6.27E-04,1.91E-04,2.29E-01
216,3.09E-04,2.84E-03,2.09E-04,6.17E-02
217,-5.82E-04,2.78E-03,-6.93E-04,1.38E-01
218,-2.73E-04,2.28E-03,1.82E-03,1.82E-01
219,-8.64E-04,1.59E-03,2.26E-03,1.21E-01
220,-1.79E-03,1.92E-03,-1.12E-03,8.08E-02
221,-9.71E-04,-1.43E-03,-2.27E-03,3.51E-02
222,4.80E-04,1.67E-03,-2.26E-03,1.34E-01
223,-1.65E-03,6.79E-04,-2.24E-03,4.25E-02
224,-1.16E-03,1.22E-03,-2.36E-03,3.07E-02
225,-6.79E-04,3.17E-03,2.97E-04,1.38E-01
226,-2.45E-03,2.74E-03,1.38E-03,1.51E-01
227,-1.41E-04,2.86E-03,-5.09E-04,1.33E-01
228,-7.16E-04,2.70E-03,1.68E-03,2.54E-01
229,-2.36E-03,1.56E-03,-6.96E-04,3.96E-02
230,-2.56E-03,1.68E-03,1.45E-04,1.28E-01
231,1.09E-03,1.38E-03,-2.28E-03,1.02E-01
232,2.38E-03,1.61E-03,4.41E-04,1.08E-01
233,1.07E-03,-1.26E-03,-2.39E-03,1.10E-01
