Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
1533,-2.03E-04,1.85E-03,-1.32E-03,9.90E-01
1534,-6.45E-05,1.84E-03,-1.35E-03,8.31E-01
1535,-1.51E-04,1.76E-03,-1.44E-03,7.47E-01
1536,1.77E-03,-1.37E-03,-3.17E-04,9.17E-01
1537,-5.13E-05,-1.81E-03,-1.34E-03,9.99E-01
1538,3.33E-04,1.91E-03,-1.20E-03,9.67E-01
1539,-6.19E-04,1.70E-03,-1.38E-03,1.28E+00
1540,-1.75E-03,1.05E-03,-9.90E-04,1.21E+00
1541,-1.70E-03,-1.30E-03,-7.35E-04,1.24E+00
1542,-1.19E-03,1.51E-03,-1.21E-03,1.50E+00
1543,-1.09E-03,1.60E-03,-1.20E-03,1.56E+00
1544,1.71E-03,-4.79E-04,-1.40E-03,3.81E-01
1545,-1.14E-04,1.91E-03,-1.24E-03,1.05E+00
1546,2.71E-05,1.90E-03,-1.26E-03,9.26E-01
1547,-1.48E-03,-1.17E-03,-1.25E-03,1.28E+00
1548,1.80E-03,-6.03E-05,-1.37E-03,3.48E-01
1549,-1.75E-03,1.25E-03,-7.39E-04,1.38E+00
1550,1.67E-03,-1.52E-03,5.97E-06,1.03E+00
1551,-3.00E-04,1.77E-03,-1.40E-03,9.50E-01
1552,-9.92E-04,-1.39E-03,-1.47E-03,1.17E+00
1553,3.68E-04,-1.68E-03,-1.46E-03,9.79E-01
1554,2.05E-03,-5.25E-04,-7.96E-04,5.63E-01
1555,-6.10E-04,-1.67E-03,-1.38E-03,1.05E+00
1556,-6.29E-04,-1.57E-03,-1.50E-03,8.61E-01
1557,1.88E-03,1.08E-03,-6.88E-04,7.38E-01
1558,1.26E-03,-1.18E-03,-1.46E-03,9.14E-01
1559,1.41E-03,-1.02E-03,-1.44E-03,8.01E-01
1560,1.57E-03,-9.01E-04,-1.36E-03,6.94E-01
1561,1.80E-03,1.22E-04,-1.38E-03,4.77E-01
1562,-1.05E-03,-1.59E-03,-1.20E-03,1.48E+00
1563,7.98E-04,-1.52E-03,-1.47E-03,1.04E+00
1564,8.39E-04,1.55E-03,-1.44E-03,9.01E-01
1565,-1.59E-03,1.05E-03,-1.24E-03,1.18E+00
1566,-6.66E-04,-1.74E-03,-1.27E-03,1.29E+00
1567,1.59E-03,1.63E-03,1.40E-04,6.05E-01
1568,1.48E-03,1.70E-03,3.06E-04,6.99E-01
1569,1.84E-03,1.27E-03,-4.11E-04,6.76E-01
1570,-1.33E-03,1.49E-03,-1.08E-03,1.49E+00
1571,6.81E-04,-1.63E-03,-1.41E-03,1.06E+00
1572,-1.55E-03,-1.22E-03,-1.10E-03,1.27E+00
1573,-1.15E-03,1.40E-03,-1.38E-03,1.40E+00
1574,-1.68E-03,1.03E-03,-1.14E-03,1.17E+00
1575,-1.75E-03,-1.29E-03,-6.04E-04,1.19E+00
1576,1.12E-03,-1.92E-03,-3.91E-04,1.16E+00
1577,-1.65E-03,-1.25E-03,-9.14E-04,1.27E+00
1578,3.15E-04,1.77E-03,-1.40E-03,6.94E-01
1579,5.51E-04,-1.97E-03,-9.43E-04,1.47E+00
1580,8.52E-04,-1.97E-03,-6.87E-04,1.39E+00
1581,1.13E-03,1.95E-03,-3.23E-04,9.89E-01
1582,-4.77E-04,-1.63E-03,-1.49E-03,7.54E-01
1583,1.31E-03,1.87E-03,-3.64E-05,6.52E-01
1584,-1.27E-03,-1.16E-03,-1.46E-03,1.23E+00
1585,-1.49E-03,-1.38E-03,-9.74E-04,1.36E+00
1586,1.89E-04,1.87E-03,-1.29E-03,8.34E-01
1587,-1.84E-03,1.08E-03,-7.82E-04,1.29E+00
1588,-2.64E-04,-1.80E-03,-1.34E-03,9.82E-01
1589,-1.30E-04,-1.90E-03,-1.20E-03,1.25E+00
1590,-4.92E-04,-1.76E-03,-1.32E-03,1.07E+00
1591,-8.01E-04,-1.49E-03,-1.50E-03,1.02E+00
1592,1.27E-03,-1.86E-03,-4.78E-05,9.71E-01
1593,-1.94E-03,-1.09E-03,-3.82E-04,1.31E+00
1594,-1.89E-03,-1.16E-03,-4.50E-04,1.24E+00
