Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
154,-6.61E-04,7.28E-12,-1.22E-02,2.33E-01, null
155,-6.88E-04,1.46E-11,-1.11E-02,2.27E-01, null
156,-7.01E-04,3.64E-12,-1.13E-02,2.25E-01, null
157,-7.69E-04,-3.64E-12,-1.29E-02,1.57E-01, null
158,-7.29E-04,0.00E+00,-1.29E-02,1.91E-01, null
159,-7.32E-04,1.82E-12,-1.19E-02,1.71E-01, null
160,-8.80E-04,7.28E-12,-1.26E-02,4.69E-02, null
161,-8.22E-04,0.00E+00,-1.28E-02,1.08E-01, null
162,-9.29E-04,0.00E+00,-1.27E-02,0.00E+00,6.15E+00
163,-9.06E-04,-3.64E-12,-1.38E-02,3.02E-02, null
164,-8.19E-04,7.28E-12,-1.36E-02,1.12E-01, null
165,-9.34E-04,-1.82E-12,-1.38E-02,0.00E+00,7.73E+00
166,-9.24E-04,0.00E+00,-1.35E-02,0.00E+00,7.39E+00
167,-6.59E-04,0.00E+00,-1.25E-02,2.43E-01, null
168,-6.98E-04,0.00E+00,-1.28E-02,2.22E-01, null
169,-8.39E-04,0.00E+00,-1.15E-02,9.21E-02, null
170,-6.94E-04,0.00E+00,-1.15E-02,2.29E-01, null
171,-7.13E-04,5.46E-12,-1.14E-02,2.09E-01, null
172,-7.29E-04,0.00E+00,-1.14E-02,1.95E-01, null
173,-4.71E-04,0.00E+00,-1.26E-02,3.35E-01, null
174,-9.31E-04,0.00E+00,-1.27E-02,0.00E+00,6.22E+00
175,-8.70E-04,-1.82E-12,-1.33E-02,6.13E-02, null
176,-9.34E-04,-1.82E-12,-1.32E-02,0.00E+00,6.59E+00
177,-9.24E-04,7.28E-12,-1.30E-02,0.00E+00,6.48E+00
178,-6.66E-04,0.00E+00,-1.23E-02,2.41E-01, null
179,-7.77E-04,3.64E-12,-1.23E-02,1.41E-01, null
180,-9.32E-04,0.00E+00,-1.26E-02,0.00E+00,6.04E+00
181,-7.87E-04,0.00E+00,-1.25E-02,1.28E-01, null
182,-9.34E-04,3.64E-12,-1.21E-02,0.00E+00,5.49E+00
183,-9.24E-04,-7.28E-12,-1.24E-02,0.00E+00,5.62E+00
184,-8.90E-04,-1.82E-12,-1.21E-02,4.09E-02, null
185,-9.06E-04,5.46E-12,-1.43E-02,2.71E-02, null
186,-8.33E-04,-7.28E-12,-1.41E-02,1.05E-01, null
187,-9.33E-04,5.46E-12,-1.43E-02,0.00E+00,9.84E+00
188,-6.92E-04,0.00E+00,-1.47E-02,2.79E-01, null
189,-5.25E-04,0.00E+00,-1.48E-02,3.04E-01, null
190,-7.21E-04,3.64E-12,-1.16E-02,1.92E-01, null
191,-9.33E-04,-1.82E-12,-1.15E-02,0.00E+00,5.14E+00
192,-7.76E-04,-9.09E-13,-1.39E-02,1.54E-01, null
193,-6.78E-04,0.00E+00,-1.40E-02,2.48E-01, null
194,-6.63E-04,-1.82E-12,-1.39E-02,2.60E-01, null
195,-9.24E-04,0.00E+00,-1.18E-02,0.00E+00,5.39E+00
196,-9.34E-04,0.00E+00,-1.20E-02,0.00E+00,5.48E+00
197,-9.24E-04,0.00E+00,-1.46E-02,0.00E+00,1.11E+01
198,-9.33E-04,-1.82E-12,-1.44E-02,0.00E+00,1.04E+01
199,-7.69E-04,7.28E-12,-1.46E-02,2.05E-01, null
200,-8.64E-04,0.00E+00,-1.44E-02,8.94E-02, null
201,-9.24E-04,0.00E+00,-1.41E-02,0.00E+00,8.66E+00
202,-9.31E-04,0.00E+00,-1.33E-02,0.00E+00,6.63E+00
203,-9.31E-04,0.00E+00,-1.38E-02,0.00E+00,7.74E+00
204,-9.32E-04,-1.82E-12,-1.21E-02,0.00E+00,5.48E+00
205,-7.61E-04,0.00E+00,-1.17E-02,1.59E-01, null
206,-6.91E-04,5.46E-12,-1.14E-02,2.29E-01, null
207,-9.31E-04,0.00E+00,-1.43E-02,0.00E+00,1.01E+01
208,-7.49E-04,-7.28E-12,-1.34E-02,1.71E-01, null
209,-8.61E-04,0.00E+00,-1.48E-02,9.32E-02, null
210,-9.34E-04,-1.82E-12,-1.16E-02,0.00E+00,5.16E+00
211,-9.33E-04,-3.64E-12,-1.38E-02,0.00E+00,7.92E+00
212,-9.33E-04,0.00E+00,-1.33E-02,0.00E+00,6.79E+00
213,-9.33E-04,-1.82E-12,-1.48E-02,0.00E+00,1.15E+01
214,-4.39E-04,-1.82E-12,-1.49E-02,3.00E-01, null
215,-6.31E-04,0.00E+00,-1.49E-02,3.00E-01, null
216,-9.24E-04,-7.28E-12,-1.13E-02,0.00E+00,5.11E+00
217,-8.19E-04,-7.28E-12,-1.12E-02,1.09E-01, null
218,-9.34E-04,-1.82E-12,-1.15E-02,0.00E+00,5.13E+00
219,-8.99E-04,-1.82E-12,-1.49E-02,3.61E-02, null
220,-9.31E-04,-1.82E-12,-1.49E-02,0.00E+00,1.15E+01
221,3.04E-05,-9.09E-13,-9.90E-03,4.80E-01, null
222,2.59E-04,0.00E+00,-9.66E-03,4.52E-01, null
223,2.17E-04,0.00E+00,-9.51E-03,4.59E-01, null
224,2.51E-05,-9.09E-13,-9.50E-03,4.85E-01, null
225,-1.25E-04,0.00E+00,-8.47E-03,4.65E-01, null
226,-3.34E-04,0.00E+00,-8.36E-03,4.36E-01, null
227,-8.45E-05,-7.28E-12,-8.24E-03,4.82E-01, null
228,6.99E-06,-9.09E-13,-9.49E-03,4.86E-01, null
229,-3.50E-05,0.00E+00,-9.47E-03,4.74E-01, null
230,1.00E-05,0.00E+00,-9.48E-03,4.85E-01, null
231,-3.00E-05,0.00E+00,-8.18E-03,4.77E-01, null
232,-7.29E-05,3.64E-12,-8.14E-03,4.83E-01, null
233,4.90E-05,3.64E-12,-8.09E-03,4.83E-01, null
234,3.44E-04,0.00E+00,-9.17E-03,4.28E-01, null
235,3.28E-04,-9.09E-12,-9.16E-03,4.28E-01, null
236,1.74E-05,0.00E+00,-9.48E-03,4.86E-01, null
237,3.07E-04,7.28E-12,-8.42E-03,4.36E-01, null
238,2.47E-04,0.00E+00,-8.14E-03,4.59E-01, null
239,1.76E-05,-7.28E-12,-8.23E-03,4.78E-01, null
240,-3.77E-04,3.64E-12,-1.04E-02,4.20E-01, null
241,-4.92E-04,0.00E+00,-1.07E-02,3.76E-01, null
242,-3.28E-04,0.00E+00,-1.04E-02,4.35E-01, null
243,-3.84E-04,0.00E+00,-1.07E-02,4.07E-01, null
244,3.46E-04,-9.09E-12,-9.16E-03,4.26E-01, null
245,3.76E-04,0.00E+00,-9.54E-03,4.36E-01, null
246,-4.47E-04,7.28E-12,-9.29E-03,3.70E-01, null
247,-4.75E-04,-3.64E-12,-9.48E-03,3.68E-01, null
248,-2.54E-04,7.28E-12,-8.60E-03,4.48E-01, null
249,-1.62E-04,0.00E+00,-8.70E-03,4.55E-01, null
250,-1.93E-05,7.28E-12,-8.59E-03,4.73E-01, null
251,2.17E-04,0.00E+00,-8.54E-03,4.49E-01, null
252,1.01E-04,0.00E+00,-8.80E-03,4.71E-01, null
253,-2.77E-04,7.28E-12,-1.06E-02,4.36E-01, null
254,-1.73E-04,7.28E-12,-9.18E-03,4.39E-01, null
255,-8.06E-05,0.00E+00,-1.03E-02,4.53E-01, null
256,1.70E-04,0.00E+00,-1.02E-02,4.45E-01, null
257,5.03E-06,0.00E+00,-9.92E-03,4.82E-01, null
258,-3.01E-04,0.00E+00,-1.03E-02,4.39E-01, null
259,3.28E-04,4.55E-12,-9.13E-03,4.33E-01, null
260,3.53E-04,1.82E-12,-9.15E-03,4.24E-01, null
261,-2.57E-04,7.28E-12,-9.66E-03,4.40E-01, null
262,2.62E-04,0.00E+00,-1.01E-02,4.35E-01, null
263,2.96E-04,0.00E+00,-1.02E-02,4.28E-01, null
264,-4.18E-06,7.28E-12,-8.98E-03,4.62E-01, null
265,4.69E-05,7.28E-12,-1.04E-02,4.54E-01, null
266,4.97E-04,-1.82E-12,-1.06E-02,3.49E-01, null
267,5.47E-04,1.82E-12,-1.06E-02,3.30E-01, null
268,4.93E-04,0.00E+00,-1.05E-02,3.56E-01, null
269,2.23E-04,-7.28E-12,-1.05E-02,4.41E-01, null
270,2.92E-04,7.28E-12,-1.03E-02,4.36E-01, null
271,-2.66E-05,0.00E+00,-1.09E-02,4.68E-01, null
272,-4.55E-06,-3.64E-12,-1.09E-02,4.70E-01, null
273,1.12E-05,-3.64E-12,-1.09E-02,4.70E-01, null
274,-3.54E-04,0.00E+00,-1.04E-02,4.22E-01, null
275,-2.86E-04,-1.82E-12,-1.11E-02,4.28E-01, null
276,3.35E-04,1.82E-12,-1.10E-02,4.28E-01, null
277,3.32E-04,9.09E-12,-1.10E-02,4.27E-01, null
278,4.36E-04,0.00E+00,-1.08E-02,3.83E-01, null
279,1.87E-05,0.00E+00,-1.08E-02,4.70E-01, null
280,1.59E-05,0.00E+00,-9.91E-03,4.81E-01, null
281,2.69E-06,4.55E-12,-9.90E-03,4.79E-01, null
282,-1.14E-04,0.00E+00,-9.93E-03,4.62E-01, null
283,-4.51E-04,0.00E+00,-7.98E-03,3.89E-01, null
284,-3.71E-04,0.00E+00,-8.00E-03,4.29E-01, null
285,-2.65E-04,0.00E+00,-7.72E-03,4.58E-01, null
286,5.05E-04,-7.28E-12,-8.82E-03,3.27E-01, null
287,3.57E-04,0.00E+00,-8.60E-03,4.24E-01, null
288,2.56E-04,0.00E+00,-8.82E-03,4.44E-01, null
289,-4.04E-04,0.00E+00,-8.14E-03,4.27E-01, null
290,-2.21E-04,0.00E+00,-8.11E-03,4.60E-01, null
291,1.73E-04,2.18E-11,-8.90E-03,4.49E-01, null
292,3.78E-04,-5.00E-12,-9.53E-03,4.36E-01, null
293,3.72E-04,0.00E+00,-9.43E-03,4.34E-01, null
294,-4.09E-04,0.00E+00,-1.08E-02,3.99E-01, null
295,-2.87E-04,0.00E+00,-1.08E-02,4.34E-01, null
296,-1.78E-04,-7.28E-12,-9.07E-03,4.35E-01, null
297,-2.50E-04,-7.28E-12,-8.91E-03,4.47E-01, null
298,-3.56E-04,0.00E+00,-9.11E-03,3.92E-01, null
299,1.02E-04,0.00E+00,-8.44E-03,4.56E-01, null
300,-6.02E-05,0.00E+00,-1.06E-02,4.71E-01, null
301,-9.06E-05,7.28E-12,-1.06E-02,4.67E-01, null
302,3.10E-04,7.28E-12,-1.01E-02,4.32E-01, null
303,3.74E-04,5.46E-12,-9.14E-03,4.12E-01, null
304,5.40E-04,0.00E+00,-1.06E-02,3.31E-01, null
305,1.30E-06,4.55E-12,-9.89E-03,4.81E-01, null
306,-3.71E-04,1.82E-12,-1.01E-02,4.24E-01, null
307,-7.89E-05,1.82E-12,-1.06E-02,4.69E-01, null
308,-3.97E-04,0.00E+00,-9.98E-03,4.07E-01, null
309,-4.31E-04,0.00E+00,-9.96E-03,3.90E-01, null
310,-3.74E-04,0.00E+00,-9.93E-03,4.21E-01, null
311,1.93E-04,-7.28E-12,-7.95E-03,4.65E-01, null
312,1.13E-04,-7.28E-12,-7.94E-03,4.69E-01, null
313,-1.48E-04,0.00E+00,-7.69E-03,4.68E-01, null
314,-1.73E-04,1.46E-11,-7.92E-03,4.51E-01, null
315,-2.20E-04,-1.46E-11,-7.66E-03,4.66E-01, null
316,2.54E-04,1.09E-11,-7.57E-03,4.53E-01, null
317,-2.11E-04,0.00E+00,-7.63E-03,4.65E-01, null
318,2.47E-04,-3.64E-12,-7.72E-03,4.63E-01, null
319,-3.23E-04,-7.28E-12,-8.73E-03,4.10E-01, null
320,-6.49E-04,0.00E+00,-7.80E-03,2.40E-01, null
