Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
133,-5.80E-04,-2.24E-03,9.22E-04,5.99E+00
134,-1.49E-03,1.95E-03,-5.29E-04,3.02E+00
135,-2.42E-03,-6.20E-04,1.34E-07,2.91E+00
136,-2.42E-03,-5.92E-04,-2.31E-04,2.15E+00
137,-2.37E-03,-7.72E-04,-1.20E-04,2.73E+00
138,-8.59E-04,-2.34E-03,2.71E-05,5.12E+00
139,-6.50E-04,-2.40E-03,-1.41E-05,4.49E+00
140,-1.14E-03,-1.68E-03,1.45E-03,8.98E+00
141,-1.15E-03,-1.54E-03,1.59E-03,8.70E+00
142,-1.30E-03,-1.55E-03,1.46E-03,9.35E+00
143,-7.34E-04,-2.04E-03,1.23E-03,8.69E+00
144,-6.65E-04,-1.95E-03,1.40E-03,8.29E+00
145,-8.55E-04,-1.92E-03,1.33E-03,1.02E+01
146,-1.45E-03,-1.43E-03,1.44E-03,1.08E+01
147,-1.49E-03,-1.26E-03,1.55E-03,9.25E+00
148,-1.61E-03,-1.30E-03,1.40E-03,9.14E+00
149,-9.94E-04,-1.80E-03,1.41E-03,8.99E+00
150,-9.74E-04,-1.66E-03,1.58E-03,8.12E+00
151,-2.31E-03,-6.47E-04,7.16E-04,5.03E+00
152,-2.37E-03,-3.94E-04,6.97E-04,4.81E+00
153,-2.06E-03,-1.30E-03,-5.25E-04,9.34E-01
154,-2.01E-03,-1.43E-03,-3.75E-04,1.81E+00
155,-1.32E-03,-1.40E-03,1.59E-03,9.44E+00
156,-9.97E-04,-2.28E-03,-1.04E-04,5.74E+00
157,-8.04E-04,-2.35E-03,-1.84E-04,4.76E+00
158,-6.40E-04,-2.15E-03,1.09E-03,7.24E+00
159,-5.39E-04,-2.08E-03,1.25E-03,7.41E+00
160,-8.15E-04,-1.82E-03,1.50E-03,8.29E+00
161,-1.15E-03,-2.20E-03,-2.11E-04,6.09E+00
162,-9.73E-04,-2.27E-03,-3.26E-04,5.02E+00
163,-1.30E-03,-2.10E-03,-2.93E-04,5.19E+00
164,-1.15E-03,-2.17E-03,-4.10E-04,4.92E+00
165,-8.59E-04,3.97E-04,-2.32E-03,2.85E+00
166,-9.49E-04,5.63E-04,-2.25E-03,6.18E-01
167,-7.60E-04,5.68E-04,-2.32E-03,2.76E+00
168,-8.14E-04,7.48E-04,-2.25E-03,6.51E-01
169,-6.29E-04,7.14E-04,-2.32E-03,2.92E+00
170,-4.70E-04,8.29E-04,-2.32E-03,2.96E+00
171,-4.46E-04,1.02E-03,-2.25E-03,6.52E-01
172,-2.90E-04,9.09E-04,-2.32E-03,3.38E+00
173,9.19E-04,2.10E-04,-2.32E-03,1.95E+00
