Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
179,2.67E-03,1.02E-03,1.48E-03,2.79E-01
180,2.68E-03,1.07E-03,1.31E-03,3.47E-01
181,2.84E-03,1.01E-03,1.09E-03,3.88E-01
182,2.86E-03,9.95E-04,9.44E-04,4.59E-01
183,2.95E-03,9.11E-04,8.40E-04,4.51E-01
184,3.03E-03,7.94E-04,7.18E-04,4.50E-01
185,3.04E-03,7.09E-04,5.96E-04,4.99E-01
186,3.10E-03,5.73E-04,5.27E-04,4.66E-01
187,3.16E-03,4.00E-04,4.67E-04,4.49E-01
188,3.15E-03,2.71E-04,3.92E-04,5.17E-01
189,3.18E-03,1.13E-04,3.94E-04,4.74E-01
190,3.17E-03,-7.35E-05,3.90E-04,4.79E-01
191,3.14E-03,-2.23E-04,3.81E-04,5.29E-01
192,3.14E-03,-3.57E-04,4.53E-04,5.15E-01
193,3.12E-03,-5.17E-04,5.46E-04,5.04E-01
194,3.06E-03,-6.84E-04,6.60E-04,5.06E-01
195,2.70E-03,-7.20E-04,1.85E-03,1.77E-01
196,2.78E-03,-5.98E-04,1.93E-03,1.70E-01
197,2.94E-03,-4.61E-04,1.97E-03,1.59E-01
198,3.05E-03,-3.21E-04,2.00E-03,1.51E-01
199,2.37E-03,-1.45E-04,2.21E-03,9.24E-02
200,2.39E-03,3.23E-04,2.18E-03,1.03E-01
201,3.54E-03,3.26E-04,1.21E-03,1.40E-01
202,3.25E-03,3.88E-04,1.88E-03,1.28E-01
203,3.55E-03,-1.56E-04,1.10E-03,1.43E-01
204,3.58E-03,1.78E-04,1.16E-03,1.43E-01
205,2.65E-03,9.42E-04,1.65E-03,2.10E-01
206,3.05E-03,-7.78E-04,8.41E-04,4.19E-01
207,2.80E-03,1.03E-03,1.23E-03,3.31E-01
208,3.12E-03,3.26E-04,1.99E-03,1.45E-01
209,3.33E-03,4.28E-04,1.79E-03,1.20E-01
210,3.30E-03,-5.50E-04,9.49E-04,1.78E-01
211,3.41E-03,-4.36E-04,1.03E-03,1.35E-01
212,3.49E-03,-3.25E-04,1.11E-03,1.35E-01
213,3.40E-03,5.37E-04,1.48E-03,1.14E-01
214,3.34E-03,5.14E-04,1.67E-03,1.18E-01
215,3.03E-03,-7.10E-05,2.08E-03,1.60E-01
216,3.02E-03,6.24E-05,2.09E-03,1.58E-01
217,2.43E-03,-3.00E-04,2.17E-03,1.01E-01
218,2.58E-03,-5.42E-04,2.03E-03,1.45E-01
219,3.44E-03,5.14E-04,1.28E-03,1.24E-01
220,2.43E-03,1.64E-04,2.21E-03,7.15E-02
221,3.54E-03,7.67E-05,1.00E-03,1.53E-01
222,2.96E-03,-1.84E-04,2.08E-03,1.65E-01
223,2.53E-03,5.91E-04,2.04E-03,1.10E-01
224,2.99E-03,2.27E-04,2.08E-03,1.52E-01
225,2.65E-03,8.60E-04,1.77E-03,1.68E-01
226,2.83E-03,9.74E-04,1.38E-03,2.41E-01
227,2.60E-03,-6.69E-04,1.93E-03,1.72E-01
228,2.99E-03,9.14E-04,1.03E-03,2.98E-01
229,2.53E-03,1.95E-05,2.20E-03,1.08E-01
230,3.13E-03,7.72E-04,9.05E-04,2.38E-01
231,2.57E-03,4.28E-04,2.12E-03,1.13E-01
232,3.15E-03,6.54E-04,7.04E-04,2.98E-01
233,3.23E-03,4.65E-04,6.27E-04,2.36E-01
234,2.82E-03,9.18E-04,1.55E-03,1.93E-01
235,3.26E-03,2.48E-04,5.42E-04,2.48E-01
236,3.17E-03,-6.54E-04,8.42E-04,3.01E-01
237,3.30E-03,2.42E-06,5.62E-04,2.12E-01
238,2.97E-03,9.27E-04,1.23E-03,2.32E-01
239,3.24E-03,-2.05E-04,5.15E-04,3.17E-01
240,3.25E-03,-3.77E-04,6.38E-04,2.82E-01
241,3.22E-03,-5.32E-04,7.30E-04,2.85E-01
242,2.75E-03,-4.40E-04,2.05E-03,1.52E-01
